RuntimeAssembly,RuntimeAssembly.CodeBase,RuntimeAssembly.FullName,RuntimeAssembly.EntryPoint,RuntimeAssembly.DefinedTypes,RuntimeAssembly.IsCollectible,RuntimeAssembly.ManifestModule,RuntimeAssembly.ReflectionOnly,RuntimeAssembly.Location,RuntimeAssembly.ImageRuntimeVersion,RuntimeAssembly.GlobalAssemblyCache,RuntimeAssembly.HostContext,RuntimeAssembly.IsDynamic,RuntimeAssembly.ExportedTypes,RuntimeAssembly.IsFullyTrusted,RuntimeAssembly.CustomAttributes,RuntimeAssembly.EscapedCodeBase,RuntimeAssembly.Modules,RuntimeAssembly.SecurityRuleSet
"WpfHost, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/WpfHost.dll","WpfHost, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","","[<CppImplementationDetails>.$ArrayType$$$BY07$$CB_W, <CppImplementationDetails>.$ArrayType$$$BY09$$CB_W...]",False,WpfHost.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\WpfHost.dll",v4.0.30319,False,0,False,"[WpfClic.ClicUiElementColors, WpfClic.ClicUiStyle, WpfClic.ClicMenuUi, WpfClic.ClicTemporalUi, WpfClic.ClicFixedUi...]",True,"[[System.Runtime.Versioning.TargetFrameworkAttribute("".NETCoreApp,Version=v8.0"", FrameworkDisplayName = "".NET 8.0"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/WpfHost.dll,[WpfHost.dll],None
"InvAIRLookContent, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvAIRLookContent.dll","InvAIRLookContent, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.Util.InvUtil...]",False,InvAIRLookContent.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvAIRLookContent.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.Util.InvUtil...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvAIRLookContent.dll,[InvAIRLookContent.dll],None
"AdWindows, Version=5.1.1.1, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/adwindows.dll","AdWindows, Version=5.1.1.1, Culture=neutral, PublicKeyToken=null","","[<>f__AnonymousType0`2[<f>j__TPar,<m>j__TPar], XamlGeneratedNamespace.GeneratedInternalTypeHelper...]",False,AdWindows.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\adwindows.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Internal.InfoCenter.ControlHost...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/adwindows.dll,[AdWindows.dll],None
"WpfAppPage, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/WpfAppPage.dll","WpfAppPage, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[InvAIRLookPageFactory, InventorApp.InventorPage, Autodesk.InventorBuilder.VersionInfo]",False,WpfAppPage.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\WpfAppPage.dll",v4.0.30319,False,0,False,"[InvAIRLookPageFactory, InventorApp.InventorPage]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/WpfAppPage.dll,[WpfAppPage.dll],None
"AdUIModel, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/AdUIModel.dll","AdUIModel, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.UIModel.AdButton, Autodesk.UIModel.AdCheckBox...]",False,AdUIModel.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\AdUIModel.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.UIModel.AdButton, Autodesk.UIModel.AdCheckBox...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/AdUIModel.dll,[AdUIModel.dll],None
"InvAIRLookResources, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvAIRLookResources.dll","InvAIRLookResources, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.InvAIRLookResources.GlobalCommandHandler, Autodesk.Inventor.InvAIRLookResources.HighlightNewCmdStates...]",False,InvAIRLookResources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvAIRLookResources.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.InvAIRLookResources.GlobalCommandHandler, Autodesk.Inventor.InvAIRLookResources.HighlightNewCmdStates...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvAIRLookResources.dll,[InvAIRLookResources.dll],None
"FlowRibbon, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/FlowRibbon.dll","FlowRibbon, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Ribbon.FlowRibbon.FlowFailureType, Autodesk.Ribbon.FlowRibbon.FlowAssertUtil...]",False,FlowRibbon.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\FlowRibbon.dll",v4.0.30319,False,0,False,"[Autodesk.Ribbon.FlowRibbon.FlowFailureType, Autodesk.Ribbon.FlowRibbon.FlowAssertUtil...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/FlowRibbon.dll,[FlowRibbon.dll],None
"InvRibbonUIResources, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvRibbonUIResources.dll","InvRibbonUIResources, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.InvRibbonUIResources.FailureType...]",False,InvRibbonUIResources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvRibbonUIResources.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.InvRibbonUIResources.FailureType...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvRibbonUIResources.dll,[InvRibbonUIResources.dll],None
"AdUIModel.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/en-US/AdUIModel.resources.dll","AdUIModel.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","",[],False,AdUIModel.resources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\en-US\AdUIModel.resources.dll",v4.0.30319,False,0,False,[],True,"[[System.Reflection.AssemblyTitleAttribute(""AdUIModel"")], [System.Reflection.AssemblyDescriptionAttribute(""Autodesk UI Model"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/en-US/AdUIModel.resources.dll,[AdUIModel.resources.dll],None
"InvRibbonUIResources.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/en-US/InvRibbonUIResources.resources.dll","InvRibbonUIResources.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","",[],False,InvRibbonUIResources.resources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\en-US\InvRibbonUIResources.resources.dll",v4.0.30319,False,0,False,[],True,"[[System.Reflection.AssemblyTitleAttribute(""InvRibbonUIResources"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/en-US/InvRibbonUIResources.resources.dll,[InvRibbonUIResources.resources.dll],None
